element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.185527399182,1.0,0.0,0.109729155898
5,C3D8,0.130504667759,1.0,0.0,-0.0976008400321
9,C3D8,0.162592098117,1.0,0.0,0.0972785279155
13,C3D8,0.195240661502,0.995578229427,0.0,-0.0728297606111
17,C3D8,0.153018429875,0.985001444817,0.0,-0.00375649891794
21,C3D8,0.10952860862,0.988154530525,0.0,0.0243565551937
27,C3D8,0.224017232656,1.0,0.0,-0.136574417353
31,C3D8,0.1370113343,0.998342394829,0.0,-0.0395067557693
35,C3D8,0.406711161137,1.0,0.0,0.127209529281
39,C3D8,0.557148337364,1.0,0.0,0.174840629101
43,C3D8,0.131933450699,1.0,0.0,0.0185648836195
47,C3D8,0.638291478157,1.0,0.0,-0.0156420562416
48,C3D8,0.0738959535956,0.993836462498,0.0,0.0221869945526
52,C3D8,0.0698779076338,0.809669554234,0.0,-0.0269952919334
56,C3D8,0.0742646083236,0.96580606699,0.0,0.0245952475816
60,C3D8,0.0912238359451,1.0,0.0,-0.0598981790245
64,C3D8,0.106073468924,1.0,0.0,0.0791253522038
68,C3D8,0.156155154109,1.0,0.0,-0.0981350690126
74,C3D8,0.206984296441,1.0,0.0,-0.116852387786
78,C3D8,0.1872061342,1.0,0.0,0.107168018818
82,C3D8,0.349084287882,1.0,0.0,-0.0302566830069
86,C3D8,0.259185999632,1.0,0.0,0.202529832721
90,C3D8,0.187431544065,1.0,0.0,-0.0111369993538
94,C3D8,0.372031152248,1.0,0.0,0.124364048243
95,C3D8,0.0400660596788,0.908509910107,0.0,-0.000209316465771
99,C3D8,0.0249576158822,0.820136249065,0.0,-0.00132383429445
103,C3D8,0.0373531244695,0.562038183212,0.0,0.0054536643438
107,C3D8,0.0821489319205,0.855131208897,0.0,-0.0113070197403
111,C3D8,0.0625800415874,1.0,0.0,0.0205934904516
115,C3D8,0.10147921741,1.0,0.0,-0.0242966543883
121,C3D8,0.0909390226007,1.0,0.0,0.00556047772989
125,C3D8,0.102438889444,1.0,0.0,0.0518577545881
129,C3D8,0.0922693684697,0.976538419724,0.0,-0.081146299839
133,C3D8,0.0968544259667,1.0,0.0,0.0178565289825
137,C3D8,0.0684603229165,1.0,0.0,0.00230469368398
141,C3D8,0.0951821878552,0.979486525059,0.0,0.0144934635609
142,C3D8,0.0109706558287,0.24590909481,0.0,-0.00232145609334
146,C3D8,0.0379195362329,0.511379778385,0.0,-0.00805790442973
150,C3D8,0.0225396174937,0.37692913413,0.0,0.00539758522063
154,C3D8,0.0359723493457,0.843742966652,0.0,-0.00980268605053
158,C3D8,0.0450221076608,0.838487446308,0.0,-0.00710342125967
162,C3D8,0.0245118029416,0.28777590394,0.0,-0.00444714259356
168,C3D8,0.0495714135468,0.893447518349,0.0,-0.0228916872293
172,C3D8,0.0228516086936,0.579513430595,0.0,0.0136648742482
176,C3D8,0.0627693682909,0.984929323196,0.0,6.95651397109e-05
180,C3D8,0.0350598171353,0.703298926353,0.0,-0.000281508662738
184,C3D8,0.039989374578,0.936756551266,0.0,-0.0113201551139
188,C3D8,0.0909106582403,1.0,0.0,0.0113721573725
189,C3D8,0.0152006503195,0.179066568613,0.0,0.00673016626388
193,C3D8,0.0147974016145,0.12144228816,0.0,-0.00635629100725
197,C3D8,0.0330308489501,0.29878872633,0.0,0.00673103611916
201,C3D8,0.0147790051997,0.218652829528,0.0,0.00103643070906
205,C3D8,0.00944843515754,0.301147609949,0.0,-0.00282149249688
209,C3D8,0.00469203665853,0.26054084301,0.0,-0.00531606096774
215,C3D8,0.0105167767033,0.197509452701,0.0,-0.00377513282001
219,C3D8,0.00353333191015,0.0896351337433,0.0,0.000998856266961
223,C3D8,0.0425131097436,0.411320149899,0.0,-0.000739363837056
227,C3D8,0.0150396060199,0.417021811008,0.0,0.00240170792677
231,C3D8,0.0207479652017,0.544140517712,0.0,0.000446477031801
235,C3D8,0.0722841918468,0.918609261513,0.0,0.0157065037638
236,C3D8,0.0103560751304,0.0184913892299,0.0,0.004077964928
240,C3D8,0.0,0.0,0.0,-0.00520419655368
244,C3D8,0.0,0.0,0.0,0.00402792124078
248,C3D8,0.0,0.0,0.0,-0.00410529738292
252,C3D8,0.00365402875468,0.0175440050662,0.0,0.00569284008816
256,C3D8,0.0020473531913,0.0226762574166,0.0,-0.00313811516389
262,C3D8,0.0110729159787,0.132826030254,0.0,-0.0038038988132
266,C3D8,0.00448306137696,0.0209200270474,0.0,0.0023676881101
270,C3D8,0.00485907448456,0.01111989934,0.0,-0.00169455853757
274,C3D8,0.00689448975027,0.031043253839,0.0,-0.00178274826612
278,C3D8,0.0,0.0,0.0,0.000468249898404
282,C3D8,0.0299914423376,0.614880561829,0.0,-0.00195269414689
283,C3D8,0.0,0.0,0.0,0.00781485252082
287,C3D8,0.0,0.0,0.0,-0.00286068418063
291,C3D8,0.0,0.0,0.0,0.00571007933468
295,C3D8,0.00436157500371,0.0256769694388,0.0,-0.00283267418854
299,C3D8,0.0,0.0,0.0,0.00473924120888
303,C3D8,0.00269910623319,0.017183592543,0.0,-0.00313920364715
309,C3D8,0.0,0.0,0.0,-0.00364480051212
313,C3D8,0.0,0.0,0.0,0.000429081061156
317,C3D8,0.0,0.0,0.0,-0.00238033104688
321,C3D8,0.00308398529887,0.0645348504186,0.0,-0.000781119335443
325,C3D8,0.00318606221117,0.0195566266775,0.0,-0.00292785721831
329,C3D8,0.00959414429963,0.0683352723718,0.0,0.00876869075
330,C3D8,0.0,0.0,0.0,0.00533406483009
334,C3D8,0.0,0.0,0.0,-0.0057488209568
338,C3D8,0.0031903879717,0.024520335719,0.0,0.00401023263112
342,C3D8,0.000765180622693,0.00127536687069,0.0,-0.00466286018491
346,C3D8,0.000931971473619,0.187263041735,0.0,-0.00031771932845
350,C3D8,0.00544921401888,0.25,0.0,-0.00235480908304
356,C3D8,0.00187812489457,0.0105209760368,0.0,0.00109562161379
360,C3D8,0.0,0.0,0.0,-0.000427292659879
364,C3D8,0.0,0.0,0.0,-0.00402536150068
368,C3D8,0.0,0.0,0.0,0.00477646663785
372,C3D8,0.0,0.0,0.0,-0.00458305561915
376,C3D8,0.000888114329427,0.0153545904905,0.0,0.00703409407288
377,C3D8,0.00861924886703,0.116998150945,0.0,0.00900182779878
381,C3D8,0.01476207003,0.35274758935,0.0,0.0014088707976
385,C3D8,0.0482513979077,0.55136525631,0.0,0.0043901973404
389,C3D8,0.0377878397703,0.221330374479,0.0,-0.00208477233537
393,C3D8,0.0108048478141,0.399759948254,0.0,-0.00428128987551
397,C3D8,0.0247404426336,0.466380059719,0.0,-0.00146451045293
403,C3D8,0.016112441197,0.157213151455,0.0,0.00452633248642
407,C3D8,0.0181469619274,0.369421333075,0.0,-0.00136289559305
411,C3D8,0.0107680456713,0.284218877554,0.0,-0.00309369224124
415,C3D8,0.0148013764992,0.390089660883,0.0,0.00693469354883
419,C3D8,0.00711373100057,0.0843225494027,0.0,-0.010633806698
423,C3D8,0.0102513385937,0.178028509021,0.0,0.00214094249532
424,C3D8,0.0377962887287,0.818511664867,0.0,0.0149130113423
428,C3D8,0.201558455825,1.0,0.0,-0.0744977742434
432,C3D8,0.324064224958,0.940981805325,0.0,0.0110513903201
436,C3D8,0.072314478457,0.817697823048,0.0,0.00106132868677
440,C3D8,0.0198512338102,1.0,0.0,0.0113220447674
444,C3D8,0.0485657453537,0.669362425804,0.0,0.00343584851362
450,C3D8,0.0654058977962,0.942568004131,0.0,-0.00716543290764
454,C3D8,0.052049446851,0.905145466328,0.0,-0.0307542085648
458,C3D8,0.0785483196378,0.846910834312,0.0,-0.0149882528931
462,C3D8,0.0695202723145,0.613939881325,0.0,0.0250670295209
466,C3D8,0.0586955025792,0.846289396286,0.0,-0.00573198450729
470,C3D8,0.0342329852283,0.730034410954,0.0,-0.0128368455917
471,C3D8,0.213237136602,1.0,0.0,0.076146773994
475,C3D8,0.111500762403,1.0,0.0,-0.0734621956944
479,C3D8,0.0862493962049,0.976371884346,0.0,0.0623127259314
483,C3D8,0.106203660369,1.0,0.0,-0.0418286547065
487,C3D8,0.0931712388992,0.896443068981,0.0,-0.0010697436519
491,C3D8,0.238219633698,0.871974945068,0.0,-0.0551245100796
497,C3D8,0.125554591417,1.0,0.0,-0.0388673059642
501,C3D8,0.136560231447,1.0,0.0,0.113886781037
505,C3D8,0.167765155435,1.0,0.0,0.00333147123456
509,C3D8,0.303892701864,1.0,0.0,0.144044727087
513,C3D8,0.127282738686,1.0,0.0,-0.0991025641561
517,C3D8,0.260381162167,0.875,0.0,0.0310774259269
518,C3D8,0.110193438828,1.0,0.0,0.0259503927082
522,C3D8,0.0941646024585,1.0,0.0,-0.0252761282027
526,C3D8,0.0394526720047,1.0,0.0,0.0406230278313
530,C3D8,0.105763092637,1.0,0.0,-0.0634688138962
534,C3D8,0.0983951985836,1.0,0.0,0.0774708241224
538,C3D8,0.295702040195,1.0,0.0,-0.250769048929
544,C3D8,0.0944025665522,1.0,0.0,-0.0492396280169
548,C3D8,0.134253174067,1.0,0.0,0.12668466568
552,C3D8,0.159976348281,1.0,0.0,-0.00254011154175
556,C3D8,0.232134133577,0.976594924927,0.0,0.0761353522539
560,C3D8,0.0864840745926,1.0,0.0,-0.0540102683008
564,C3D8,0.379106849432,1.0,0.0,-0.0292986761779
565,C3D8,0.027669897303,0.538065850735,0.0,-0.00321736605838
569,C3D8,0.0901409238577,0.944315195084,0.0,-0.0040913275443
573,C3D8,0.0134935639799,0.385849237442,0.0,-0.000182160176337
577,C3D8,0.0286943558604,0.898161292076,0.0,-0.016526049003
581,C3D8,0.0753508582711,1.0,0.0,0.0177425500005
585,C3D8,0.0755000039935,0.980439841747,0.0,-0.0551836639643
591,C3D8,0.0490843690932,0.873748660088,0.0,-0.0164044052362
595,C3D8,0.083394177258,0.99333268404,0.0,0.0423390120268
599,C3D8,0.0970135033131,1.0,0.0,-0.0348466299474
603,C3D8,0.0231652352959,0.454611718655,0.0,0.00325332232751
607,C3D8,0.038741774857,0.751288890839,0.0,-0.0182208679616
611,C3D8,0.102985084057,0.89189606905,0.0,-0.018197670579
